Dodic,Nomenclature
A595,""" CAL .50 TP-T PLASTIC M860 LNKD"""
A596,""" CAL .50 4  M2/1 TR M1/M10/M17 (DET T)"""
A598,""" CAL .50 BLANK M1A1 LNKD"""
A599,""" CAL .50 BLANK M1E1 LNKD"""
A601,""" CAL .50 BALL M33 LNKD AC"""
A602,""" CAL .50 4 TP PLASTIC M858/1 TP-T PLASTIC M860"""
A603,""" CAL .50 TP PLASTIC M858 LNKD"""
A605,""" CAL .50 BALL M33 LNKD MG"""
A606,""" CAL .50 API MK211-0 SNGL RD"""
A607,""" CAL .50 4 API MK211-1/1 API-T M20"""
A608,""" CAL .50 4 API MK211-0/1 OR MP NM140A1/1 TR M17"""
A610,""" CAL .50 BALL M33 SNGL RD"""
A612,""" CAL .50 4 BALL M2/1 TR M17 AC"""
A621,""" CAL .50 4 BALL M33/1 TR M17 AC"""
A648,""" 7.62MM BALL M80  """
A651,""" 20MM TP-T M220 SNGL RD"""
A652,""" 20MM TP-T M220 LNKD"""
A653,""" 20MM 4 HEI M56A3/A4/1 TP-T M220"""
A654,""" 20MM 7 TP M55A2/1 TP-T M220"""
A655,""" 20MM 7 HEI M56A3/A4/1 TP-T M220"""
A656,""" 20MM 7 TP M55A2/1 TP-T M220"""
A657,""" 20MM 7 HEI M56A3/1 TP-T M220"""
A658,""" 20MM 7 HEI M56 SER/1 HEI-T M242 SER"""
A659,""" 20MM HEI-T M242 SER SNGL RD"""
A660,""" 20MM 3 HEI M56A3/1 API M53"""
A661,""" 20MM TP M55 LNKD"""
A662,""" 20MM HEI M56 LNKD (1305)"""
A663,""" 20MM 9 HEI M56A3/1 HEI-T M242"""
A664,""" 20MM 9 TP M55A2/1 TP-T M220"""
A665,""" 20MM 4 HEI M56A3/1 HEI-T M242"""
A666,""" 20MM 7 HEI M56A3/1 TP-T M220"""
A667,""" 20MM 10 TP M55A2/1 TP-T M220"""
A672,""" 20MM 4 TP M204/1 AP-T M95"""
A675,""" 20MM APDS M103/MK149-0 LNKD; “DU”"""
A676,""" 20MM APDS MK149-2 LNKD; “DU”"""
A677,""" 20MM SAPHEI PGU-28/B SNGL RD"""
A678,""" 20MM TP PGU-27/B SNGL RD"""
A679,""" 20MM TP-T PGU-30/B SNGL RD"""
A680,""" SUBCAL 22MM PRAC M744 CHG 1 F/81MM"""
A681,""" SUBCAL 22MM PRAC M745 CHG 2 F/81MM"""
A682,""" SUBCAL 22MM PRAC M746 CHG 3 F/81MM"""
A683,""" SUBCAL 22MM PRAC M747 CHG 4 F/81MM"""
A684,""" SUBCAL 22MM PRAC M890 CHG 1 F/4.2"""""
A685,""" SUBCAL 22MM PRAC M891 CHG 2 F/4.2"""""
A686,""" SUBCAL 22MM PRAC M892 CHG 3 F/4.2"""""
A687,""" SUBCAL 22MM PRAC M893 CHG 4 F/4.2"""""
A688,""" SUBCAL 22MM PRAC M894 CHG 5 F/4.2"""""
A689,""" SUBCAL 22MM PRAC M895 CHG 6 F/4.2"""""
A690,""" SUBCAL 22MM PRAC M896 CHG 7 F/4.2"""""
A691,""" SUBCAL 22MM PRAC M897 CHG 8 F/4.2"""""
A692,""" 20MM APDS MK149-4 LNKD"""
A700,""" 20MM TP M55A2 LNKD"""
A701,""" 20MM HEI M56 SER LNKD"""
A710,""" 20MM MP-T-SD M940 LNKD"""
A740,""" 20MM BL-P SNGL RD"""
A741,""" 20MM BL-T SNGL RD"""
A743,""" 20MM HE SNGL RD"""
A744,""" 20MM HEI SNGL RD"""
A745,""" 20MM HE-T SNGL RD"""
A746,""" 20MM HE-T-DI SNGL RD"""
A747,""" 20MM 4 HEI M97/1 AP-T M95"""
A748,""" 20MM 3 HEI M97/1 INC M96"""
A761,""" 20MM 4 SAPHEI PGU-28/B/1 TP-T PGU-30/B (1305)"""
A762,""" 20MM 4 SAPHEI PGU-28/B/1 TP-T PGU-30/B"""
A763,""" 20MM TUNGSTEN PENETRATOR MK149-5 LNKD"""
A764,""" 20MM SAPHEI PGU-28/B LNKD"""
A765,""" 20MM AP-T M95/A1 SNGL RD"""
A767,""" 20MM 9 HEI MK106-2/1 AP-T MK108-1"""
A769,""" 20MM *"""
A770,""" 20MM *"""
A772,""" 20MM TP PGU-27/B LNKD"""
A775,""" 20MM HEI M97 SNGL RD"""
A776,""" 20MM INC M96 SNGL RD"""
A777,""" 20MM TP M99/M204 SNGL RD"""
A778,""" 20MM AP-T SNGL RD"""
A785,""" 20MM HEI M210 SNGL RD"""
A786,""" 20MM API-T M601 SNGL RD"""
A787,""" 20MM HEI-T M599 SNGL RD"""
A788,""" 20MM TP-T M206A1 SNGL RD"""
A789,""" 20MM 2 API-T M601/3 HEI-T M599"""
A790,""" 20MM TP-T M206/A1 LNKD"""
A791,""" 20MM HEI-T-SD M246 SNGL RD"""
A792,""" 20MM HEI-T-SD M246 LNKD"""
A793,""" 20MM 4 API MK107/1 AP-T MK108/5 HEI"""
A794,""" 20MM 4 API MK107/1 AP-T MK108/5 HEI MK106-0/1"""
A795,""" 20MM 4 API MK107/1 AP-T MK108/5 HEI MK106"""
A796,""" 20MM 7 HEI M56A3/1 HEI-T-SD M246"""
A797,""" 20MM 9 API MK107-1/1 AP-T MK108-1"""
A806,""" 20MM API MK107 MODS/T133 SNGL RD"""
A808,""" 20MM HEI MK106-0/1 SNGL RD"""
A809,""" 20MM HPT T131 SNGL RD"""
A810,""" 20MM LPT T169 SNGL RD"""
A811,""" 20MM TP MK105-0 SNGL RD"""
A812,""" 20MM AP-T MK108-0 SNGL RD"""
A813,""" 20MM 2 AP-T M95/2 INC M96"""
A814,""" 20MM 2 AP-T M95/2 INC M96"""
A818,""" 20MM 7 HEI M56A4/1 HEI-T M242A1"""
A834,""" 20MM 1 AP-T M95/2 HEI M210/2 INC M96"""
A835,""" 20MM 2 HEI M210/3 INC M96"""
A836,""" 20MM 2 HEI M210/3 INC M96"""
A846,""" 20MM INC M96 LNKD"""
A852,""" 20MM HEI M56A3/A4 LNKD"""
A855,""" 20MM 1 AP-T M95/4 INC M96"""
A857,""" 20MM 7 TP M55A2/1 TP-T M220"""
A862,""" 20MM 4 HEI M210/1 AP-T M95"""
A871,""" 20MM HEI MK106-2 SNGL RD"""
A872,""" 20MM API MK107-1 SNGL RD"""
A873,""" 20MM AP-T MK108-1 SNGL RD"""
A874,""" 20MM TP MK105-1 SNGL RD"""
A875,""" 20MM API-T LC-21-C LNKD"""
A876,""" 20MM TP MK105-0 SNGL RD"""
A884,""" 20MM API T221E1/E2/M53 LNKD"""
A889,""" 20MM TP M55A2 LNKD"""
A890,""" 20MM HEI M56 SERIES SNGL RD"""
A891,""" 20MM TP M55A2 SNGL RD"""
A892,""" 20MM HPT M54A1 SNGL RD"""
A894,""" 20MM TP M55A2 LNKD"""
A896,""" 20MM 4 TP M55A2/1 TP-T M220"""
A899,""" 20MM FIRING CIRCUIT TEST MK109-0 SNGL RD (1305)"""
A918,""" 20MM API M53 LNKD"""
A919,""" 20MM HEI M56 SERIES LNKD"""
A926,""" 20MM TP M55A2 LNKD"""
A940,""" 25MM TPDS-T M910 LNKD"""
A941,""" 25MM HEI PGU-38/U SNGL RD"""
A953,""" 20MM HEI M56 SERIES LNKD"""
A965,""" 25.4MM DECOY M839; “S/S LIFE ITEM”"""
A974,""" 25MM APDS-T M791 LNKD"""
A975,""" 25MM HEI-T M792 LNKD"""
A976,""" 25MM TP-T M793 LNKD"""
A977,""" 25MM HPT M846 SNGL RD"""
A978,""" 25MM TP PGU-23/U SNGL RD"""
A979,""" 25MM API PGU-20/U SNGL RD; “DU”"""
A980,""" 25MM HEI PGU-22/U SNGL RD"""
A981,""" 25MM HEI-T MK210-0, -2 LNKD"""
A982,""" 25MM HEI PGU-25/U, A/U SNGL RD"""
A983,""" 25MM API PGU-20/U LNKD; “DU”"""
A985,""" 25MM TP-T M793 REFERENCE"""
A986,""" 25MM APFSDS-T M919 LNKD; “DU”"""
A988,""" 25MM HEI-T M792 SNGL RD"""
A990,""" 25MM SAPHEI-T PGU-32/U SNGL RD"""
A991,""" 25MM SAPHEI-T PGU-32/U LNKD"""
BA01,""" 40MM HEI PGU-9C/B (1310)"""
BA02,""" 40MM HEI PGU-9B/B"""
BA03,""" 40MM IR ILLUM XM/M992"""
BA04,""" 60MM IR ILLUM XM/M767"""
BA06,""" 40MM XM/M1006; “N-L”"""
BA07,""" 40MM RUBBER BATON; “N-L”"""
BA08,""" 40MM RUBBER BALL; “N-L”"""
BA09,""" 40MM WDN BATON; “N-L”"""
BA11,""" 40MM CANNISTER M1001"""
BA12,""" 40MM TP MK281-0 (LOW COST TRNG CTG)"""
BA12,""" 40MM TP MK281-2"""
BA13,""" 40MM CROWD DISPERSAL M1029; “N-L”"""
BA14,""" 60MM WP SMOKE M722A1"""
BA15,""" 60MM FULL RANGE PRACT M769"""
BA16,""" 60MM HE M720A1"""
BA17,""" 60MM HE M768"""
BA18,""" 40MM TP"""
BA20,""" 40MM PPHE-T/SD MK285-0"""
BA21,""" 40MM PRACT MK281-1 DAY/NIGHT MARKER"""
BA21,""" 40MM PRACT MK281-3 DAY/NIGHT MARKER"""
BA22,""" 57MM MK295-0, W/FUZE 3P (1310)"""
BA24,""" 40MM WARNING MK297-0 100M"""
BA25,""" 40MM WARNING MK298-0 200M"""
BA26,""" 40MM WARNING MK299-o 300M"""
BA29,""" 60MM HE M1061 W/FUZE M734A1"""
BA30,""" 40MM 2 TP M918/1 TP M385A1"""
BA33,""" 40MM MULTI FLASH/BANG TUBE LAUNCH"""
BA35,""" 40MM PRACTICE DAY/NIGHT M1110"""
BA36,""" 40MM ARMOR PIERCING M81A1"""
BA37,""" 40MM INFRARED, MK312 MOD 0"""
BA38,""" 57MM TP MK296 MOD2"""
BA39,""" 40MM PROX AIR-BURSTING XM1112 “N-L”"""
BA41,""" 40MM HIGH EXPLOSIVE PLUGGED (HEP), PGU-9D/B"""
BA42,""" 60MM HE M1061 W/ MOF M734A1"""
BA43,""" 40MM RED, WHITE, AND BLUE STAR SIG, MK 325/0"""
BA44,""" 60MM HE, M720A2 W/ MFO M734A1"""
BA45,""" 60MM M768A1 WITH FZ PD/DELAY, M783"""
BA47,""" 40MM HEI, PGU-49/B"""
BA48,""" 40MM HEI, PGU-50/B"""
BA49,""" 40MM, REFERENCE, M385A1, 32 UNLINKED"""
BWDY,"""GUIDED MISSILE BODY, TACTICAL, GM-84D-1A"""
BWDZ,"""GUIDED MISSILE BODY, EXERCISE, TM-84D-1B, HARPOON"""
BWMN,"""ACOUSTIC DEVICE COUNTERMEASURE (ADC), MK 2 MOD 5"""
BX08,"""CHG, PROP INCREMENT XM/M181 F/60MM"""
BX14,"""CHG, PROP INCREMENT XM/M182 F/60MM"""
B004,""" 30MMX173MM MK310-0 LNKD PABM-T"""
B020,""" 30MM TP XM/M954 SNGL RD (1305)"""
B021,""" 30MM TP XM/M954 LNKD"""
B022,""" 30MM TP XM/M954 LNKD"""
B023,""" 30MM HEDP XM/M953 LNKD"""
B024,""" 30MM HEDP XM/M953 LNKD"""
B102,""" AF 30MM 5 API-T PGU-14/B/1 HEI PGU-13/B; “DU”"""
B103,""" AF 30MM 5 API PGU-14 SER/1 HEI PGU-13 SER; “DU”"""
B104,""" AF 30MM HEI PGU-13/B A/B LNKD (1305)"""
B107,""" 30MM HEDP M789"""
B109,""" 30MM TRNG XM/M639 LNKD"""
B110,""" AF 30MM TP T239 SNGL RD"""
B112,""" 30MM HEI MK3Z LNKD"""
B113,""" 30MM TP MK4Z LNKD"""
B114,""" 30MM HEI MK3Z-1 LNKD"""
B115,""" 30MM TP MK4Z LNKD"""
B116,""" AF 30MM TP PGU-15/B LNKD"""
B117,""" AF 30MM API PGU-14A/B B/B LNKD; “DU”"""
B118,""" 30MM TP M788 SNGL RD STRIP PACK"""
B119,""" 30MM TP M788 LNKD"""
B120,""" 30MM TP M788 LNKD"""
B124,""" 30MM HEI M799 LNKD"""
B125,""" 30MM HEI M799 LNKD"""
B126,""" AF 30MM 2 TP PGU-15/B/1 HEI PGU-13/B"""
B127,""" AF 30MM HPT SNGL RD"""
B128,""" AF 30MM API-T PGU-14/B LNKD; “DU”"""
B129,""" 30MM HEDP M789 SNGL RD STRIP CLIP PACK"""
B130,""" 30MM HEDP M789 LNKD"""
B131,""" 30MM HEDP M789 LNKD"""
B135,""" 30MM HPT M883 SNGL RD"""
B136,""" AF 30MM HPT"""
B137,""" 30MM TP XM/M950 SNGL RD STRIP PACK"""
B138,""" 30MM TP XM/M950 LNKD"""
B139,""" 30MM TP XM/M950 LNKD"""
B140,""" 30MM HEDP XM/M949 SNGL RD STRIP PACK"""
B141,""" 30MM HEDP XM/M949 LNKD"""
B142,""" 30MM HEDP XM/M949 LNKD"""
B143,""" 30MM HEDP XM/M952 SNGL RD STRIP PACK"""
B144,""" 30MM HEDP XM/M952 LNKD"""
B145,""" 30MM HEDP XM/M952 LNKD"""
B146,""" 30MM TP XM/M955 SNGL RD STRIP PACK"""
B147,""" 30MM TP XM/M955 LNKD"""
B148,""" 30MM TP XM/M955 LNKD"""
B149,""" 30MM HEDP XM/M953 SNGL RD STRIP PACK"""
B470,""" 40MM HE XM384E3/M384 LNKD (1310)"""
B475,""" 40MM YLW SMK XM/M676 SNGL RD"""
B476,""" 40MM GRN SMK XM/M679 SNGL RD"""
B477,""" 40MM WHT SMK XM/M680 SNGL RD"""
B479,""" 40MM RED SMK XM/M682 SNGL RD"""
B480,""" 40MM TP XM385E3/M385 LNKD HELI LNCHR"""
B481,""" 40MM HE M384/XM684 LNKD HELI LNCHR"""
B504,""" 40MM ILLUM GRN STAR PARA M661 SNGL RD"""
B505,""" 40MM ILLUM RED STAR PARA M662 SNGL RD"""
B506,""" 40MM RED SMK M713 SNGL RD"""
B508,""" 40MM GRN SMK M715 SNGL RD"""
B509,""" 40MM YLW SMK M716 SNGL RD"""
B511,""" 40MM TP M813  """
B517,""" 40MM HEI-PD M811  """
B518,""" 40MM HE-PREFRAG PROX M822  """
B519,""" 40MM TP M781 SNGL RD"""
B529,""" 40MM HE M383/HE-T M677 LNKD HELI LNCHR"""
B534,""" 40MM  XM/M576 SNGL RD"""
B535,""" 40MM ILLUM WHT STAR PARA XM583/E1 SNGL RD"""
B536,""" 40MM ILLUM WHT STAR CLSTR M585 SNGL RD"""
B537,""" 40MM CHEM AGENT CS M674"""
B538,""" 40MM RED SMK M675"""
B542,""" 40MM HEDP M430 & A1 LNKD"""
B545,""" 40MM BLANK SALUTING SNGL RD"""
B546,""" 40MM HEDP M433"""
B549,""" 40MM HE-P MK162-0 SNGL RD"""
B550,""" 40MM BLANK SALUTING SNGL RD"""
B551,""" 40MM  M81A1  """
B552,""" 40MM AP-T M81 SERIES SNGL RD OR  """
B553,""" 40MM HE-P  """
B554,""" 40MM HE-SD  """
B555,""" 40MM HEI-P  """
B556,""" 40MM HEI-P  """
B557,""" 40MM HEI-SD  """
B558,""" 40MM HEI-T  """
B559,""" 40MM HEI-T MK2 OR HEI-T-SD  """
B560,""" 40MM HEI-T-SD  """
B561,""" 40MM HE-P  """
B562,""" 40MM HE-T-SD  """
B563,""" 40MM BL-P  """
B564,""" 40MM BL-T  """
B567,""" 40MM CS M651E1 SNGL RD"""
B568,""" 40MM HE M406 SNGL RD"""
B569,""" 40MM HE M397 SNGL RD"""
B570,""" 40MM HE M406 LNKD"""
B571,""" 40MM HE M383 LNKD"""
B571,""" 40MM HE M383E1 LNKD"""
B572,""" 40MM HE M384 SNGL RD"""
B573,""" 40MM HE (APERS) M684 LNKD"""
B574,""" 40MM HE M386 SNGL RD"""
B575,""" 40MM HE M441 SNGL RD"""
B576,""" 40MM TP M385A1 LNKD"""
B577,""" 40MM TP M407A1 SNGL RD"""
B578,""" 40MM TP M387 SNGL RD"""
B584,""" 40MM TP M918 LNKD"""
B585,""" 57MM APERS CANISTER T25E5"""
B586,""" 57MM HE M306A1"""
B587,""" 57MM HEAT M307/A1"""
B588,""" 57MM TP M306A1"""
B590,""" 57MM SMK WP M308A1"""
B591,""" 35MM TP-T XM/M968"""
B592,""" 40MM TP M918 SNGL RD"""
B610,"""LAUNCHER &  CS-1 M18"""
B617,""" IGN M702 SERIES F/60MM"""
B620,""" IGN M5A1/A2 F/60MM"""
B621,""" IGN M4 F/60MM"""
B622,"""CHG, PROP M3A1 F/60MM"""
B623,"""FIN ASSY, 60MM M2 W/CTG IGN M5A1 CHG PROP M3A1"""
B627,""" 60MM ILLUM M83A3"""
B630,""" 60MM SMK WP M302/E1/A1/A2"""
B632,""" 60MM HE M49A2/A4"""
B634,""" 60MM TP M50A2/A3"""
B638,"""PROJ, 64MM RIOT CONTROL KE M743"""
B639,"""PROJ, 64MM RIOT CONTROL CS M742"""
B642,""" 60MM HE M720"""
B643,""" 60MM HE M888"""
B645,""" 60MM PRACT SR M766"""
B646,""" 60MM SMK WP M722"""
B647,""" 60MM ILLUM M721"""
B650,""" 40MM BLANK SALUTING"""
B653,"""KIT, REFURB F/ 60MM PRAC SR M766"""
B666,""" 3 POUNDER BLANK MK1-1"""
B667,""" 6 POUNDER BLANK MK1-1"""
CA02,""" 120MM TPCSDS-T M865A1/E2 (1315)"""
CA03,"""CTG MORTAR, 120MM SMK WP M929"""
CA04,"""CTG MORTAR, 120MM HE M934A1"""
CA05,""" 120MM HE-OR-T XM/M908"""
CA07,"""CTG MORTAR, 120MM IR ILLUM XM/M983"""
CA09,"""CTG MORTAR, 120MM FULL RANGE PRAC M931"""
CA10,""" 84MM TP-T FFV141"""
CA11,""" 105MM DPICM M915"""
CA15,""" 105MM HF HE M1 MOD W/O FUZE"""
CA17,""" 105MM HE M1 MOD W/PD FUZE FMU-153/B"""
CA20,""" 84MM HEAT 551C RS"""
CA21,""" 84MM HEDP 502IM/502 RS"""
CA22,""" 105MM PRACT PGU-43/B"""
CA23,""" 84MM AREA DETERENT MUNITION 401"""
CA24,""" 105MM PRACT M1"""
CA26,""" 120MM APFSDS-T M829E3/A3 “DU”"""
CA27,""" 84MM HE 441D IM RS"""
CA29,""" 105MM PRACT M1"""
CA30,"""CTG & LAUNCHER, 84MM CS RS"""
CA31,""" 120MM TPMP-T M1002"""
CA32,""" 105MM HEP-T M393A3"""
CA33,""" 105MM HF HE PGU-45/B W/O FUZE"""
CA34,""" 105MM HE PGU-44/B W/PD FUZE FMU-153/B"""
CA36,""" 84MM CARL GUSTAF ILLUM 545C"""
CA37,""" 105MM TP-T M467A1"""
CA38,""" 120MM CANISTER M1028"""
CA39,""" 120MM ILLUM M930E1"""
CA40,""" 105MM CANISTER M1040"""
CA41,""" 84MM CARL-GUSTAF ASM 509"""
CA43,""" 81MM HE M889A2"""
CA44,""" 120MM HE M933A1"""
CA45,"""CTG MORTAR, 120MM HE M1101 EFSS"""
CA46,"""CTG MORTAR, 120MM ILLUM M1105 EFSS"""
CA47,"""CTG MORTAR, 120MM PRACT M1107 EFSS"""
CA48,""" 84MM CARL-GUSTAF ADM 401 BALL BEARING"""
CA49,"""CTG MORTAR, 120MM SMOKE WP M1103 EFSS"""
CA51,""" 84MM, CARL GUSTAF 756 MULTI-TARGET"""
CA52,""" 105MM, HE PFF-BB M1130 (STEEL CART CASE)"""
CA53,""" 105MM, INFRARED ILLUM, M1064, W/O FUZE"""
CA57,""" 120MM, MULTI-PURPOSE, HE, TRACED, MK 324/0"""
CA58,""" 105MM, TPDS-T M724A1E1"""
CA61,""" 81MM, HE IM ENHANCED M821A3"""
CA62,""" 81MM, HE IM ENHANCED M889A3 W/ FZ PD M935A1"""
CA63,""" 81MM, HE IM ENHANCED M889A4"""
CA64,""" 120MM, APFSDS-T, M829A4 “DU”"""
CW81,""" 4.4 IN CHAFF MK171-0 TYPE 1"""
CW82,""" 4.4 IN CHAFF MK171-0 TYPE 2"""
CW83,""" 4.4 IN CHAFF MK171-0 TYPE 3"""
CW84,""" 4.4 IN CHAFF MK171-0 TYPE 4"""
CW85,""" 4.4 IN PRACT MK178-0"""
CWAX,"""ACOUSTIC DEVICE, COUNTERMEASURE (ADC), MK 2-1"""
CWEC,"""BATTERY, THERMAL"""
CWIE,"""EMATT, MK 39 MOD 1"""
CWLC,"""EMATT, MK 39 MOD 1"""
CWNF,"""GQM-163A TARGET VEHICLE ASSEMBLY"""
CWNG,"""BLAST TEST VEHICLE, MK 44 MOD 0, FOR RAM"""
CWOC,"""EMATT, MK 39 MOD 2"""
CWPG,"""TRANSMITTING SET, GM, TELEMETRIC DATA, AN/DKT-89"""
CWPL,"""GUIDANCE SECTION, SM-3, BLOCK 1A, MK 98 MOD 0"""
CWRD,""" CAL .40 FRANGIBLE, 135 GRAIN"""
CWRE,"""GUIDANCE UNIT ASSY, AIM-9X, P/N 2276208-6"""
CWSQ,"""TRANSMITTING SET, TELEMETRIC DATA, AN/DKT-80B"""
CWSS,"""TRANSMITTING SET, TELEMETRIC DATA, AN/DKT-89,"""
CWTB,"""EMATT, MK 39 MOD 2-TER"""
CWTD,"""PC&T SEC, MK 1-1, STD MISSILE-6 BLOCK 1, RIM 174A-01"""
CWTE,"""GS ASSY, MK 100-1, STD MISSILE-6 BLOCK 1, RIM 174A-01"""
CX30,"""BAG, LOADING ASSY F/4.2 IN"""
CX46,"""CHG, PROP INCREMENT A F/81MM"""
CX47,"""CHG, PROP INCREMENT B F/81MM"""
C002,""" 75MM HE M334"""
C009,""" IGN M285 F/81MM"""
C010,""" IGN M66/E1 F/81MM"""
C019,"""CHG, PROP M5 F/81MM"""
C020,"""CHG, PROP M185 F/81MM"""
C021,"""CHG, PROP INCREMENT A M90A1 F/81MM"""
C022,"""CHG, PROP INCREMENT B M90A1 F/81MM"""
C025,""" 75MM BLANK M337/A2"""
C027,""" 75MM HE M48"""
C032,""" 75MM SMK WP M64"""
C043,"""CHG, PROP M205"""
C044,"""CHG, PROP M220 F/ 81MM PRAC M879"""
C045,"""KIT, REFURB F/ 81MM TP SR M880"""
C051,""" 75MM HE M309/A1"""
C052,""" 75MM HEAT M310/A1"""
C053,""" 75MM HEP-T M349"""
C054,""" 75MM TP M309/A1"""
C056,""" 75MM SMK WP M311/A1"""
C057,""" 75MM HE M309/A1"""
C058,""" 76MM VT-NF MK202-0"""
C059,""" 76MM HE-VT MK208-0"""
C060,""" 76MM HE-IR MK199-0"""
C060,""" 76MM HE-IR *"""
C061,""" 76MM HE-PD MK200-0"""
C061,""" 76MM HE-PD *"""
C062,""" 76MM BL-P MK201-0/1/2"""
C066,""" 76MM HE-CVT MK230-0"""
C074,""" 81MM PRACT M374A3"""
C075,""" 75MM APC-T M61"""
C098,""" 76MM TP-T M340/A1"""
C101,""" 76MM BLANK"""
C107,""" 76MM HVTP-T M315A1"""
C112,""" 76MM HE-IR MK165-0/1"""
C113,""" 76MM HE-PD MK166-0/1"""
C115,""" 76MM BL-P MK168-0/1"""
C116,""" 76MM CLEARING CHG MK76-0/1/2"""
C120,""" 76MM AP-T M339"""
C122,""" 76MM HE M352"""
C124,""" 76MM HVAP-T M319"""
C128,""" 76MM SMK WP M361"""
C131,""" 76MM BLANK M355E1/A1"""
C136,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C137,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C138,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C139,""" 3 IN 50 CAL BLANK"""
C140,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C141,""" 3 IN 50 CAL HE-VT MK33-0"""
C142,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C143,""" 3 IN 50 CAL  MK29"""
C150,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C151,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C152,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C153,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C162,""" 3 IN 50 CAL VT-NF MK33 MODS"""
C164,""" 3 IN 50 CAL VT-NF MK31/33 MODS"""
C166,""" 3 IN 50 CAL VT-NF MK33 MODS"""
C172,""" 3 IN 50 CAL ILLUM MK25 MODS"""
C178,""" 3 IN 50 CAL BL-P/T MK27 MODS"""
C179,""" 3 IN 50 CAL BL-P/T MK27 MODS"""
C183,""" 3 IN 50 CAL BLANK"""
C184,"""CHG, PROP 3 IN 50 CAL FLASHLESS"""
C185,"""CHG, PROP 3 IN 50 CAL FLASHLESS"""
C205,""" 3 IN 50 CAL HE-VT MK31 MODS"""
C207,""" 3 IN 50 CAL HE-VT MK31 MODS"""
C208,""" 3 IN 50 CAL HE-VT MK31 MODS"""
C212,""" 3 IN 50 CAL  MK29 MODS"""
C215,""" 3 IN 50 CAL  MK29 MODS"""
C218,""" 3 IN 50 CAL HC MK27 MODS"""
C222,""" 81MM HE M362/A1"""
C223,""" 81MM HE M362/T28"""
C225,""" 81MM HE M43A1"""
C226,""" 81MM ILLUM M301A1/2/3"""
C226,""" 81MM ILLUM M301A2"""
C227,""" 81MM TP M43A1"""
C230,""" 81MM SMK WP M57/A1"""
C231,""" 81MM SMK WP M57A1"""
C233,""" 81MM HE M362A1"""
C234,""" 81MM SMK WP M370"""
C235,""" 81MM LEAFLET MK112-0"""
C236,""" 81MM HE M374/A2"""
C239,"""CHG, PROP INCREMENT M2A1 F/81MM"""
C240,"""CHG, PROP INCREMENT M1A1 F/81MM"""
C242,""" IGN M6 F/81MM"""
C243,""" IGN M3/M252 F/81MM"""
C244,""" IGN M2A2 F/4.2”"""
C245,""" IGN M8 F/81MM"""
C250,""" 81MM CHAFF MK115"""
C256,""" 81MM HE M374/E1/A2/A3"""
C258,""" 90MM SMK WP M313C"""
C260,""" 90MM APC-T M82"""
C261,""" 90MM BLANK M394"""
C262,""" 90MM CANISTER APERS M336"""
C265,""" 90MM HE M71"""
C266,""" 90MM HE M71"""
C267,""" 90MM HE M71"""
C268,""" 90MM HEAT M348A1/T108E46"""
C273,""" 90MM SMK WP M313"""
C275,""" 90MM APERS-T M580"""
C276,""" 81MM SMK WP M375"""
C276,""" 81MM SMK WP M375A2/A3"""
C279,"""CHG, PROP M90A1 F/81MM"""
C280,""" 90MM HE-T M71/A1"""
C282,""" 90MM HEAT M371A1"""
C283,""" 90MM PRAC M371"""
C285,""" 90MM AP-T M318/A1/A1E1"""
C287,""" 90MM HE-T T91/M71A1"""
C289,""" 90MM TP-T M764"""
C290,""" 90MM TP-T M353/A1/E1"""
C293,""" 3 IN 50 CAL HE-VT MK33 MODS"""
C294,""" 90MM HEAT-T T300E59/M431/A1/A2"""
C296,""" 3 IN 50 CAL HC MK27 MODS"""
C297,""" 3 IN 50 CAL HE-VT MK31-1/2"""
C299,""" 3 IN 50 CAL AA MK27 MODS"""
C302,""" 3 IN 50 CAL AA MK27 MODS"""
C303,""" 3 IN 50 CAL HC MK23/MK27 MODS"""
C305,""" 3 IN 50 CAL ILLUM MK25 MODS"""
C306,""" 3 IN 50 CAL HE-IR *"""
C307,""" 3 IN 50 CAL HE-IR MK33-0"""
C318,""" 3 IN 50 CAL VT-NF MK31 MODS"""
C319,""" 3 IN 50 CAL VT-NF MK31 MODS"""
C320,""" 3 IN 50 CAL VT-NF *"""
C321,""" 3 IN 50 CAL HE-IR MK31 MODS (1315)"""
C322,""" 3 IN 50 CAL HE-IR MK31 MODS"""
C338,""" 3 IN 50 CAL BL-P/T MK27/MK29 MODS"""
C341,""" 3 IN 50 CAL BL-P/T MK27/MK29 MODS"""
C347,""" 3 IN 50 CAL HC MK27/MK33 MODS"""
C348,""" 3 IN 50 CAL HC MK27/MK33 MODS"""
C349,""" 3 IN 50 CAL HE-SD MK31-1"""
C353,""" 3 IN 50 CAL HE-VT MK31 MODS"""
C355,""" 3 IN 50 CAL HE-VT MK31 MODS"""
C356,""" 3 IN 50 CAL HE-VT MK31 MODS"""
